2: 72, 1014, 159, 1001, 1892
3: 603, 2605, 418, 154, 7027
4: 65, 1072, 1713, 1061, 1014
5: 190, 227, 533, 709, 1098
6: 257, 157, 55, 292, 299
7: 289, 349, 291, 89, 461
8: 295, 701, 466, 257, 299
9: 1904, 2094, 2102, 374, 288
10: 207, 190, 533, 217, 227
11: 257, 333, 67, 701, 291
12: 89, 289, 292, 704, 1854
13: 289, 89, 288, 461, 302
14: 227, 735, 599, 1244, 8817
15: 227, 511, 851, 206, 190
16: 466, 288, 55, 300, 1573
17: 461, 333, 679, 295, 298
18: 511, 1249, 1412, 917, 234
20: 154, 603, 190, 227, 2671
21: 89, 295, 344, 333, 349
22: 2379, 198, 707, 1672, 2384
23: 1412, 735, 190, 562, 154
24: 292, 288, 349, 701, 306
25: 292, 257, 299, 306, 349
26: 843, 1358, 1412, 163, 924
27: 157, 55, 289, 89, 227
28: 187, 993, 1886, 99, 1892
29: 295, 333, 306, 701, 344
30: 289, 292, 686, 466, 349
31: 1713, 1061, 153, 187, 1001
32: 207, 424, 163, 533, 65
33: 163, 154, 226, 234, 190
34: 429, 154, 190, 159, 227
35: 154, 163, 418, 506, 152
36: 498, 687, 377, 1672, 1853
37: 159, 441, 1534, 429, 1083
38: 704, 289, 464, 528, 324
39: 12, 947, 707, 706, 188
40: 72, 9, 4871, 153, 1323
41: 841, 1527, 707, 918, 163
42: 298, 295, 229, 67, 207
43: 154, 89, 432, 220, 969
44: 959, 1372, 220, 212, 154
45: 466, 292, 289, 291, 67
46: 289, 295, 461, 544, 543
47: 89, 288, 295, 344, 686
48: 295, 292, 333, 466, 701
49: 292, 466, 295, 349, 300
50: 154, 190, 203, 225, 226
51: 841, 954, 707, 843, 1372
52: 779, 845, 1044, 1188, 1551
53: 466, 67, 701, 89, 295
54: 295, 333, 300, 306, 89
55: 65, 2923, 228, 199, 4585
56: 227, 154, 229, 65, 190
57: 679, 461, 544, 701, 681
58: 292, 461, 701, 333, 528
59: 173, 1001, 159, 7, 198
60: 154, 227, 599, 81, 237
61: 154, 227, 207, 903, 5745
62: 1061, 59, 1075, 229, 75
63: 1369, 234, 1249, 1360, 1372
64: 157, 1427, 227, 475, 10150
65: 493, 486, 500, 779, 1672
66: 187, 998, 193, 1014, 1027
68: 302, 461, 291, 333, 55
69: 154, 1627, 440, 227, 1613
70: 154, 220, 234, 707, 511
71: 198, 953, 841, 377, 942
72: 289, 288, 349, 461, 299
73: 72, 59, 193, 997, 98
74: 292, 288, 289, 89, 333
75: 302, 461, 306, 257, 1032
76: 288, 3324, 289, 679, 1906
77: 207, 228, 1090, 533, 154
78: 2668, 756, 772, 616, 4865
79: 302, 295, 349, 461, 288
80: 845, 1853, 1557, 813, 823
81: 475, 1613, 331, 2179, 6618
82: 154, 199, 418, 196, 615
83: 506, 707, 8454, 2300, 10255
84: 707, 1372, 234, 176, 732
85: 707, 227, 163, 154, 234
86: 503, 1672, 808, 198, 815
87: 89, 257, 306, 295, 291
88: 217, 418, 222, 227, 1090
89: 300, 230, 333, 481, 466
90: 1459, 344, 3585, 3583, 3588
91: 599, 1083, 2470, 2624, 3508
92: 701, 292, 257, 523, 344
94: 203, 227, 441, 229, 225
95: 89, 466, 289, 325, 498
96: 157, 72, 59, 187, 1001
97: 424, 229, 228, 227, 425
98: 466, 306, 257, 461, 291
99: 190, 1713, 1061, 59, 1075
100: 533, 190, 203, 599, 1090
101: 333, 2959, 808, 464, 536
102: 154, 599, 959, 163, 4079
103: 173, 1072, 1061, 59, 511
104: 300, 704, 466, 1246, 333
105: 4865, 748, 2146, 444, 2667
106: 159, 1745, 616, 756, 2680
107: 917, 1360, 1369, 841, 1358
108: 707, 954, 917, 918, 1276
109: 706, 1810, 1369, 735, 918
110: 67, 302, 461, 299, 466
111: 154, 227, 425, 190, 226
113: 1358, 843, 930, 706, 918
114: 959, 234, 707, 1415, 212
115: 7056, 227, 565, 868, 11885
116: 278, 331, 330, 3227, 2923
117: 187, 993, 193, 511, 599
118: 1180, 497, 500, 486, 1854
119: 707, 198, 1358, 957, 843
120: 466, 302, 89, 306, 55
121: 466, 295, 344, 461, 299
122: 227, 1412, 163, 154, 733
123: 154, 207, 432, 190, 229
124: 159, 89, 67, 1379, 377
125: 735, 234, 733, 533, 190
126: 461, 289, 295, 344, 318
127: 707, 1412, 732, 917, 220
128: 59, 157, 599, 67, 154
129: 291, 701, 295, 89, 349
130: 292, 291, 333, 302, 325
131: 227, 154, 3147, 250, 16100
132: 292, 306, 325, 291, 528
133: 300, 333, 299, 344, 325
134: 302, 306, 333, 466, 461
135: 333, 306, 300, 701, 461
136: 292, 295, 55, 461, 300
